,counter,src_svc,dst_svc,src_cid,dst_cid,flow,weight,total
5,50,b,c,us-west-1,us-west-1,-1,1.0,-1
6,50,a,b,us-west-1,us-west-1,-1,1.0,-1
0,51,frontend,a,us-east-1,us-east-1,400,0.6779661016949152,590
1,51,frontend,a,us-east-1,us-west-1,190,0.3220338983050847,590
2,51,frontend,a,us-west-1,us-west-1,108,1.0,108
3,51,b,c,us-east-1,us-west-1,-1,1.0,-1
4,51,a,b,us-east-1,us-east-1,-1,1.0,-1
5,51,b,c,us-west-1,us-west-1,-1,1.0,-1
6,51,a,b,us-west-1,us-west-1,-1,1.0,-1
0,52,frontend,a,us-east-1,us-east-1,400,0.7246376811594203,552
1,52,frontend,a,us-east-1,us-west-1,152,0.2753623188405797,552
2,52,frontend,a,us-west-1,us-west-1,85,1.0,85
3,52,b,c,us-east-1,us-west-1,-1,1.0,-1
4,52,a,b,us-east-1,us-east-1,-1,1.0,-1
5,52,b,c,us-west-1,us-west-1,-1,1.0,-1
6,52,a,b,us-west-1,us-west-1,-1,1.0,-1
0,53,frontend,a,us-east-1,us-east-1,400,0.6589785831960461,607
1,53,frontend,a,us-east-1,us-west-1,207,0.34102141680395387,607
2,53,frontend,a,us-west-1,us-west-1,101,1.0,101
3,53,b,c,us-east-1,us-west-1,-1,1.0,-1
4,53,a,b,us-east-1,us-east-1,-1,1.0,-1
5,53,b,c,us-west-1,us-west-1,-1,1.0,-1
6,53,a,b,us-west-1,us-west-1,-1,1.0,-1
0,54,frontend,a,us-east-1,us-east-1,400,0.7079646017699115,565
1,54,frontend,a,us-east-1,us-west-1,165,0.2920353982300885,565
2,54,frontend,a,us-west-1,us-west-1,105,1.0,105
3,54,b,c,us-east-1,us-west-1,-1,1.0,-1
4,54,a,b,us-east-1,us-east-1,-1,1.0,-1
5,54,b,c,us-west-1,us-west-1,-1,1.0,-1
6,54,a,b,us-west-1,us-west-1,-1,1.0,-1
0,55,frontend,a,us-east-1,us-east-1,400,0.6557377049180327,610
1,55,frontend,a,us-east-1,us-west-1,210,0.3442622950819672,610
2,55,frontend,a,us-west-1,us-west-1,93,1.0,93
3,55,b,c,us-east-1,us-west-1,-1,1.0,-1
4,55,a,b,us-east-1,us-east-1,-1,1.0,-1
5,55,b,c,us-west-1,us-west-1,-1,1.0,-1
6,55,a,b,us-west-1,us-west-1,-1,1.0,-1
0,56,frontend,a,us-east-1,us-east-1,400,0.6872852233676976,582
1,56,frontend,a,us-east-1,us-west-1,182,0.3127147766323024,582
2,56,frontend,a,us-west-1,us-west-1,96,1.0,96
3,56,b,c,us-east-1,us-west-1,-1,1.0,-1
4,56,a,b,us-east-1,us-east-1,-1,1.0,-1
5,56,b,c,us-west-1,us-west-1,-1,1.0,-1
6,56,a,b,us-west-1,us-west-1,-1,1.0,-1
0,57,frontend,a,us-east-1,us-east-1,400,0.6722689075630253,595
1,57,frontend,a,us-east-1,us-west-1,195,0.3277310924369748,595
2,57,frontend,a,us-west-1,us-west-1,107,1.0,107
3,57,b,c,us-east-1,us-west-1,-1,1.0,-1
4,57,a,b,us-east-1,us-east-1,-1,1.0,-1
5,57,b,c,us-west-1,us-west-1,-1,1.0,-1
6,57,a,b,us-west-1,us-west-1,-1,1.0,-1
0,58,frontend,a,us-east-1,us-east-1,400,0.6884681583476764,581
1,58,frontend,a,us-east-1,us-west-1,181,0.31153184165232356,581
2,58,frontend,a,us-west-1,us-west-1,60,1.0,60
3,58,b,c,us-east-1,us-west-1,-1,1.0,-1
4,58,a,b,us-east-1,us-east-1,-1,1.0,-1
5,58,b,c,us-west-1,us-west-1,-1,1.0,-1
6,58,a,b,us-west-1,us-west-1,-1,1.0,-1
