index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",10,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,118,597,0.19765494137353434
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",10,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,514,603,0.8524046434494196
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",10,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,89,603,0.14759535655058043
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",11,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,358,513,0.6978557504873294
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",11,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,155,513,0.30214424951267055
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",11,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,88,88,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",11,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,510,510,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",11,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,93,93,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",11,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,512,600,0.8533333333333334
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",11,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,88,600,0.14666666666666667
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",11,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,510,603,0.845771144278607
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",11,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,93,603,0.15422885572139303
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",12,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,358,507,0.7061143984220908
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",12,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,149,507,0.2938856015779093
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",12,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,92,92,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",12,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,542,542,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",12,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,86,86,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",12,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,506,598,0.8461538461538461
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",12,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,92,598,0.15384615384615385
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",12,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,542,628,0.8630573248407644
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",12,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,86,628,0.13694267515923567
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",13,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,370,542,0.6826568265682657
